clave,grupos
CD-LXVI-I-1P-018,PVEM
CD-LXVI-I-2P-023,PAN
CD-LXVI-I-2P-027,PAN
CD-LXVI-I-2P-034,MORENA
CD-LXVI-I-1E-036,MORENA
CD-LXVI-II-1P-042,MC;MORENA;PVEM
CD-LXVI-II-1P-043,MORENA;PAN
CD-LXVI-II-1P-045,PAN
CD-LXVI-II-1P-046,PT
CD-LXVI-II-1P-048,PRI
CD-LXVI-II-1P-049,MC
CD-LXVI-II-1P-050,
CD-LXVI-II-1P-058,MORENA
CD-LXVI-II-1P-059,MORENA
CD-LXVI-II-1P-060,MORENA
CD-LXVI-II-1P-061,PAN
CD-LXVI-II-1P-062,PAN
CD-LXVI-II-1P-063,MORENA;PVEM
CD-LXVI-II-1P-064,PT
CD-LXVI-II-1P-066,MC
CD-LXVI-II-1P-068,MORENA;PT;PVEM
CD-LXVI-II-1P-069,PRI
CD-LXVI-II-1P-070,PAN
CD-LXVI-II-1P-072,PAN
CD-LXVI-II-1P-073,MORENA;PT;PVEM
CD-LXVI-II-1P-074,PT
CD-LXVI-II-1P-083,
CD-LXVI-II-1P-085,MC;MORENA;PAN;PVEM
CD-LXVI-II-2P-087,MORENA
CD-LXVI-II-2P-088,MORENA
CD-LXVI-II-2P-089,MORENA;PAN
CD-LXVI-II-2P-091,PAN
CD-LXVI-II-2P-092,PVEM
CD-LXVI-II-2P-093,PVEM
CD-LXVI-II-2P-094,PAN;PT
CD-LXVI-II-2P-095,MORENA;PRI
CD-LXVI-II-2P-098,MORENA
CD-LXVI-II-2P-099,PAN
CD-LXVI-II-2P-102,
CD-LXVI-II-2P-104,PAN
CD-LXVI-II-2P-105,PVEM
CD-LXVI-II-2P-106,MORENA;PAN;PRI;PT;PVEM
CD-LXVI-II-2P-115,MORENA
CD-LXVI-II-2P-116,MORENA
CD-LXVI-II-2P-117,PAN
CD-LXVI-II-2P-118,PAN;PVEM
CD-LXVI-II-2P-119,PRI;PVEM
CD-LXVI-II-2P-120,PVEM
CD-LXVI-II-2P-121,PRI;PT
CD-LXVI-II-2P-122,PRI
CD-LXVI-II-2P-128,
CD-LXVI-II-2P-129,MC;MORENA;PAN;PRI;PVEM
CD-LXVI-II-2P-131,MORENA
CD-LXVI-II-2P-132,MC;MORENA;PAN;PRI;PT;PVEM
CD-LXVI-II-2P-133,PT
CD-LXVI-II-2P-134,PRI
